stock_code,name,name_abbr,tax_code,industry_code,company_type,industry
6246,臺龍電子股份有限公司,臺龍,12386388,26,上櫃,光電業
1342,八貫企業股份有限公司,八貫,12386676,20,上市,其他
6151,晉倫科技股份有限公司,晉倫,12390496,31,上櫃,其他電子業
4120,友華生技醫藥股份有限公司,友華,12397982,22,上櫃,生技醫療業
3028,增你強股份有限公司,增你強,12401698,29,上市,電子通路業
6277,宏正自動科技股份有限公司,宏正,12403422,25,上市,電腦及週邊設備業
4304,勝昱科技股份有限公司,勝昱,12413104,3,上櫃,塑膠工業
1580,新麥企業股份有限公司,新麥,12461082,5,上櫃,電機機械
1260,富味鄉食品股份有限公司,富味鄉,12467902,2,興櫃,食品工業
2643,捷迅股份有限公司,捷迅,12479610,15,上櫃,航運業
8374,羅昇企業股份有限公司,羅昇,12486062,5,上市,電機機械
2352,佳世達科技股份有限公司,佳世達,12490306,25,上市,電腦及週邊設備業
5015,華祺工業股份有限公司,華祺,12494555,10,上櫃,鋼鐵工業
2916,滿心企業股份有限公司,滿心,12498877,38,上櫃,居家生活
2711,凱撒大飯店股份有限公司,凱撒飯店,12499670,16,公開發行,觀光事業
3426,台興電子企業股份有限公司,台興,12499995,5,上櫃,電機機械
8114,振樺電子股份有限公司,振樺電,12514341,25,上市,電腦及週邊設備業
2433,互盛股份有限公司,互盛電,12516241,31,上市,其他電子業
1714,和桐化學股份有限公司,和桐,12526607,21,上市,化學工業
4207,環泰企業股份有限公司,環泰,12529007,2,上櫃,食品工業
8433,弘帆股份有限公司,弘帆,12547173,38,上櫃,居家生活
6242,立康生醫事業股份有限公司,立康,12549828,22,上櫃,生技醫療業
5608,四維航業股份有限公司,四維航,12551801,15,上市,航運業
3567,逸昌科技股份有限公司,逸昌,12613567,24,上櫃,半導體業
6788,華景電通股份有限公司,華景電,12613876,24,上櫃,半導體業
3450,聯鈞光電股份有限公司,聯鈞,12624467,24,上市,半導體業
5285,界霖科技股份有限公司,界霖,12636560,24,上市,半導體業
1585,鎧鉅科技股份有限公司,鎧鉅,12642444,28,興櫃,電子零組件業
4944,兆遠科技股份有限公司,兆遠,12646223,26,上櫃,光電業
8299,群聯電子股份有限公司,群聯,12649951,24,上櫃,半導體業
6583,友松娛樂股份有限公司,友松,12654975,32,興櫃,文化創意業
3564,其陽科技股份有限公司,其陽,12658515,27,上櫃,通信網路業
6535,順天醫藥生技股份有限公司,順藥,12663974,22,上櫃,生技醫療業
3188,鑫龍騰開發股份有限公司,鑫龍騰,12667444,14,上櫃,建材營造
6546,正基科技股份有限公司,正基,12673109,27,上櫃,通信網路業
3528,安馳科技股份有限公司,安馳,12676056,29,上市,電子通路業
4732,彥臣生技藥品股份有限公司,彥臣,12676817,22,興櫃,生技醫療業
4194,禾伸堂生技股份有限公司,禾生技,12681706,22,興櫃,生技醫療業
6914,阜爾運通股份有限公司,阜爾運通,12681939,20,興櫃,其他
4168,台灣醣聯生技醫藥股份有限公司,醣聯,12683520,22,上櫃,生技醫療業
4724,宣捷幹細胞生技股份有限公司,宣捷幹細胞,12685908,22,興櫃,生技醫療業
6432,今展科技股份有限公司,今展科,12688172,28,上櫃,電子零組件業
3296,勝德國際研發股份有限公司,勝德,12702977,28,上市,電子零組件業
3164,景岳生物科技股份有限公司,景岳,12715847,22,上市,生技醫療業
3688,華立捷科技股份有限公司,華立捷,12737912,20,公開發行,其他
4545,銘鈺精密工業股份有限公司,銘鈺,12738623,28,上市,電子零組件業
6894,衛司特科技股份有限公司,衛司特,12739475,35,興櫃,綠能環保
4728,雙美生物科技股份有限公司,雙美,12744147,22,上櫃,生技醫療業
6708,天擎積體電路股份有限公司,天擎,12748729,24,上櫃,半導體業
3678,聯享光電股份有限公司,聯享,12767387,26,興櫃,光電業
3504,揚明光學股份有限公司,揚明光,12800061,26,上市,光電業
3481,群創光電股份有限公司,群創,12800225,26,上市,光電業
3596,智易科技股份有限公司,智易,12800294,27,上市,通信網路業
3380,明泰科技股份有限公司,明泰,12800392,27,上市,通信網路業
3656,聯勝光電股份有限公司,聯勝,12800908,13,公開發行,電子工業
6469,大樹醫藥股份有限公司,大樹,12803476,22,上櫃,生技醫療業
6729,機光科技股份有限公司,機光科技,12846708,26,興櫃,光電業
6832,金鼎聯合科技纖維股份有限公司,金鼎科,12854740,20,興櫃,其他
3413,京鼎精密科技股份有限公司,京鼎,12858252,24,上市,半導體業
2596,綠意開發股份有限公司,綠意,12860948,14,上櫃,建材營造
3260,威剛科技股份有限公司,威剛,12861019,24,上櫃,半導體業
6923,中台資源科技股份有限公司,中台,12862116,35,興櫃,綠能環保
6662,樂斯科生物科技股份有限公司,樂斯科,12862410,22,上櫃,生技醫療業
3231,緯創資通股份有限公司,緯創,12868358,25,上市,電腦及週邊設備業
6805,富世達股份有限公司,富世達,12871564,28,興櫃,電子零組件業
6758,冠亞生技股份有限公司,冠亞,12873063,22,興櫃,生技醫療業
6795,洹藝科技股份有限公司,洹藝,12878686,7,公開發行,化學生技醫療
6526,達發科技股份有限公司,達發,12883169,24,興櫃,半導體業
3632,研勤科技股份有限公司,研勤,12894047,27,上櫃,通信網路業
6423,億而得微電子股份有限公司,億而得,12894399,24,興櫃,半導體業
3508,位速科技股份有限公司,位速,12894840,31,上櫃,其他電子業
3629,地心引力股份有限公司,地心引力,12898395,32,上櫃,文化創意業
4925,智微科技股份有限公司,智微,12901841,24,興櫃,半導體業
4726,永昕生物醫藥股份有限公司,永昕,12905993,22,上櫃,生技醫療業
3591,艾笛森光電股份有限公司,艾笛森,12907747,26,上市,光電業
5298,合盈光電科技股份有限公司,合盈,12910264,13,公開發行,電子工業
4979,華星光通科技股份有限公司,華星光,12927477,27,上櫃,通信網路業
7707,益芯科技股份有限公司,益芯,12933631,13,公開發行,電子工業
6972,博瑞達應用材料股份有限公司,博瑞達應材,12936216,11,公開發行,橡膠工業
6475,岱煒科技股份有限公司,岱煒,12943883,13,公開發行,電子工業
3522,御頂國際股份有限公司,御頂,12947467,16,上櫃,觀光事業
4195,基龍米克斯生物科技股份有限公司,基米,12953452,22,興櫃,生技醫療業
3311,閎暉實業股份有限公司,閎暉,12956063,27,上市,通信網路業
1780,立弘生化科技股份有限公司,立弘,12971536,22,興櫃,生技醫療業
4133,亞諾法生技股份有限公司,亞諾法,12974421,22,上市,生技醫療業
4994,傳奇網路遊戲股份有限公司,傳奇,12975809,30,上市,資訊服務業
6728,上洋產業股份有限公司,上洋,12978735,38,上櫃,居家生活
6833,太康精密股份有限公司,太康精密,12979018,28,興櫃,電子零組件業
4916,事欣科技股份有限公司,事欣科,13000192,25,上市,電腦及週邊設備業
6578,達邦蛋白股份有限公司,達邦蛋白,13000453,33,上櫃,農業科技業
4999,鑫禾科技股份有限公司,鑫禾,13012009,28,上市,電子零組件業
4589,碩陽電機股份有限公司,碩陽電機,13055739,5,興櫃,電機機械
6651,全宇昕科技股份有限公司,全宇昕,13063718,24,上櫃,半導體業
6530,創威光電股份有限公司,創威,13067290,27,上櫃,通信網路業
3609,三一東林科技股份有限公司,三一東林,13073151,28,上櫃,電子零組件業
6658,聯策科技股份有限公司,聯策,13079649,31,興櫃,其他電子業
4174,台灣浩鼎生技股份有限公司,浩鼎,13110677,22,上櫃,生技醫療業
